0	Comparison	The Bartlesville, Okla., oil company late yesterday still hadn't said officially what caused the explosions and fires, which sent columns of heavy black smoke billowing high into the air.	One local Phillips manager said a seal blew in one of the plant's reactors.
1	Temporal	made him head of New York, head of the U.S., president of North America,	and recommended him {to Mr. Sorrell} as my successor.
2	Expansion	Nine-month net income dropped 47% to $26.3 million, or 54 cents a share, from $49.7 million, or $1.02 a share.	Revenue rose 6% to $2.79 billion from $2.63 billion.
3	Comparison	Conservatives are the faction in U.S. politics which always said that Mr. Ortega and his friends don't want to hold an election in Nicaragua.	Liberals are the faction that says, Give peace a chance;
4	Comparison	Then, two days before receiving an endorsement from environmental groups, Mr. Dinkins promised he would issue a three-year moratorium on construction of garbage-incinerator plants.	That announcement was roundly criticized by Mayor Koch because the city faces a garbage crisis and has already spent $5 million planning for an incinerator that would be scrapped under Mr. Dinkins's proposal.
5	Contingency	couldn't get a phone line through,	and spent a really horrible hour not knowing.
6	Temporal	spreads concrete throughout the country	and boasts in international conferences that Japan's paved roadway per capita is the longest in the world,
7	Expansion	Marlin Fitzwater, White House press secretary, also asserted that Mr. Agnos had failed to return telephone calls from John Sununu, White House chief of staff.	"We regret very much that the mayor of San Francisco has decided not to cooperate with us on this matter in making sure that there is adequate federal support for the disaster in his city,"" Mr. Fitzwater said."
8	Temporal	Mr. Perry, paused to scan the crowd.	"I see we have about half the audience working for us,"" he said, tongue in cheek."
9	Comparison	Lawful demonstrations, such as peaceful picketing and other assemblages that do not disturb the peace or cause a public nuisance or interfere with the rights of others, are rights guaranteed by any truly free system of government.	Civil disobedience, violent or non-violent, is intentional law breaking.
10	Contingency	In a planned protest against his appearance, several members of the studio audience chain themselves in front of the TV cameras in such a way that the program cannot continue.	The network must refund money to the advertisers and loses considerable revenue and prestige.
11	Contingency	the insurer may be knocking on my door,	asking for steeper premium payments to maintain the same amount of protection.
12	Expansion	to create static or slow the system down	to frustrate his quarry.
13	Temporal	if they spend a few thousand dollars for a commercially available microwave receiver with amplifier and a VCR recorder.	They need only position themselves near a company's satellite dish and wait.
14	Expansion	Property-tax relief is likely.	Legislators are talking about temporary rises in sales or gasoline taxes, although Gov. Deukmejian says they should be a last resort.
15	Contingency	Japanese government officials, hailed the transaction as proof foreigners can make similar investments in Japan.	eager to rebut foreign criticism of Japanese investments overseas,
16	Contingency	It doesn't appear to be getting worse.	That in itself has got to cause people to feel a little more optimistic,
17	Temporal	Every morning, tractor-trailer trucks arrive at the Natick Ground Station from Boston's Logan Airport,	carrying the day's package load.
18	Expansion	In their quest to perfect apartheid, the Orange Workers have discovered a truth that most of privileged white South Africa tries mightily to deny:	The master can't become dependent on the slave and expect to remain master forever.
19	Temporal	Earnings included a one-time gain of $192 million on a property transaction in Hong Kong.	Exploration and production profits slumped $40 million due to a provision for restructuring costs.
20	Contingency	Dr. Morgan has just emerged from the D.C. jail after more than two years' confinement for contempt of court,	a heroine to her many supporters.
21	Expansion	"they made him forfeit all credits and financial interest in the films he had helped develop, including ""Rainman"" and ""Batman."	Mr. Peters acknowledges that and says it's not unlike the situation he and Mr. Guber are in with Warner.
22	Temporal	Divide your meals into important and unimportant.	In a great restaurant, don't deprive yourself.
23	Expansion	Like Peter Sellars, Ms. Bogart manipulates her actors as if they were rag dolls,	"There are moments in this ""Summerfolk"" when the characters populating the vast multilevel country house spout philosophic bon mots with the self-conscious rat-a-tat-tat pacing of ""Laugh In."
24	Contingency	"We like to make our own judgments"" about Mr. Morishita,"	People have a different reputation country by country.
25	Temporal	contracted the AIDS virus through a blood transfusion,	and transmitted it to two of her children.
26	Comparison	De Beers offered 17%	and the union wanted 37.6%.
27	Comparison	that the loss was magnified by accounting adjustments	and that the company's loss was smaller on a cash basis.
28	Expansion	unless imports are cut drastically	to help narrow the balance-of-payments deficit.
29	Comparison	most of them could have afforded to keep up their payments	they chose not to do so.
30	Contingency	But this is not the entire Afghan army, and it is no longer Kabul's only military force.	Complete units have been trained and indoctrinated in the U.S.S.R. and other East bloc nations; 30,000 to 40,000 of these troops have returned.
31	Comparison	In recent weeks, moreover, Mr. Brady has joined other administration officials in trying to urge the Fed toward lower interest rates.	The urging admittedly has been gentle.
32	Comparison	it hopes to control 5% of jewelry business in the U.S. by 1992;	currently it controls about 2%.
33	Expansion	to file for protection	to avoid going into default under its agreement with MCA.
34	Temporal	Silences were lengthy	nobody moved or gestured.
35	Comparison	We have designs for such {executive} cars, but have never been able to develop them,	"GM's help would ""make it possible {for Jaguar} to build a wider range of cars."
36	Expansion	"An ebullient Mr. Johnson, wearing a NASA baseball cap and carrying a camera and binoculars, called the launch ""fantastic."	Benny Chin, manager of the Galileo probe, compared it to watching a child leave home.
37	Contingency	OPEC production will have to decline	to keep prices from eroding further.
38	Expansion	The jokes aren't just on the Japanese, though.	"Regie Nationale des Usines Renault, the French auto maker, has a concept car called the Megane. The name is supposed to connote feminine grandeur, but in Japanese it means ""eyeglasses."
39	Comparison	Many Americans still agonize over their own personal feelings about abortion.	Mr. Bush's problem isn't so much that he seems to be agonizing over the issue as it is that he seems to vacillate on it.
40	Temporal	take off their clothes	and run around the courtyard naked,
41	Temporal	they said Eastern has exceeded its operational goals and is filling its seats.	Flanked by flight attendants, pilots and gate agents dressed in spiffy new blue uniforms,
